Train_Name,Station,count
4-6-6 Express,"[{'station_name': 'Spring St'}, {'station_name': '116th St'}, {'station_name': '103rd St'}, {'station_name': 'Bleecker St'}, {'station_name': '110th St'}, {'station_name': '28th St'}, {'station_name': '68th St - Hunter College'}, {'station_name': '23rd St'}, {'station_name': '51st St'}, {'station_name': '77th St'}, {'station_name': '96th St'}, {'station_name': '33rd St'}, {'station_name': 'Canal St'}, {'station_name': 'Astor Pl'}]",14
1-2,"[{'station_name': 'Franklin St'}, {'station_name': '18th St'}, {'station_name': '28th St'}, {'station_name': 'Christopher St - Sheridan Sq'}, {'station_name': '79th St'}, {'station_name': 'Houston St'}, {'station_name': '23rd St'}, {'station_name': '59th St - Columbus Circle'}, {'station_name': 'Canal St'}, {'station_name': '66th St - Lincoln Ctr'}, {'station_name': '86th St'}, {'station_name': '50th St'}]",12
2-3-4,"[{'station_name': 'Eastern Pkwy - Bklyn Museum'}, {'station_name': 'Grand Army Plaza'}, {'station_name': 'Bergen St'}]",3
3-4,"[{'station_name': 'Nostrand Ave'}, {'station_name': 'Sutter Ave - Rutland Road'}, {'station_name': 'Saratoga Ave'}, {'station_name': 'Rockaway Ave'}, {'station_name': 'Junius St'}, {'station_name': 'New Lots Ave'}, {'station_name': 'Kingston Ave'}, {'station_name': 'Crown Hts - Utica Ave'}, {'station_name': 'Van Siclen Ave'}, {'station_name': 'Pennsylvania Ave'}]",10
1,"[{'station_name': 'Cortlandt St'}, {'station_name': 'Rector St'}, {'station_name': 'South Ferry'}, {'station_name': '125th St'}, {'station_name': 'Dyckman St'}, {'station_name': 'Van Cortlandt Park - 242nd St'}, {'station_name': '207th St'}, {'station_name': '215th St'}, {'station_name': '231st St'}, {'station_name': 'Marble Hill - 225th St'}, {'station_name': '191st St'}, {'station_name': '181st St'}, {'station_name': '168th St'}, {'station_name': '137th St - City College'}, {'station_name': '116th St - Columbia University'}, {'station_name': 'Cathedral Pkwy (110th St)'}, {'station_name': '103rd St'}, {'station_name': '157th St'}, {'station_name': '145th St'}, {'station_name': '238th St'}]",20
A-B-C,"[{'station_name': '135th St'}, {'station_name': '116th St'}, {'station_name': '86th St'}, {'station_name': '81st St'}, {'station_name': '103rd St'}, {'station_name': '96th St'}, {'station_name': '72nd St'}, {'station_name': 'Cathedral Pkwy (110th St)'}]",8
A-C,"[{'station_name': 'Lafayette Ave'}, {'station_name': 'High St'}, {'station_name': 'Clinton - Washington Aves'}, {'station_name': 'Franklin Ave'}, {'station_name': '163rd St - Amsterdam Av'}, {'station_name': '155th St'}, {'station_name': 'Broadway Junction'}, {'station_name': 'Liberty Ave'}, {'station_name': 'Chambers St'}, {'station_name': 'Fulton St'}, {'station_name': 'Utica Ave'}, {'station_name': 'Shepherd Ave'}, {'station_name': 'Van Siclen Ave'}, {'station_name': 'Nostrand Ave'}, {'station_name': 'Rockaway Ave'}, {'station_name': '168th St'}, {'station_name': 'Ralph Ave'}, {'station_name': 'Kingston - Throop Aves'}]",18
E-M-R,"[{'station_name': 'Queens Plz'}, {'station_name': 'Steinway St'}, {'station_name': 'Northern Blvd'}, {'station_name': '46th St'}, {'station_name': 'Woodhaven Blvd - Queens Mall'}, {'station_name': '63rd Dr - Rego Park'}, {'station_name': 'Grand Ave - Newtown'}, {'station_name': '67th Ave'}, {'station_name': 'Elmhurst Ave'}, {'station_name': '36th St'}, {'station_name': '65th St'}]",11
J-M-Z,"[{'station_name': 'Myrtle Ave'}, {'station_name': 'Marcy Ave'}, {'station_name': 'Delancey St - Essex St'}]",3
J-Z,"[{'station_name': 'Bowery'}, {'station_name': 'Broad St'}, {'station_name': 'Canal St'}, {'station_name': 'Chambers St'}, {'station_name': 'Fulton St'}, {'station_name': 'Gates Ave'}, {'station_name': '75th St - Eldert Ln'}, {'station_name': 'Crescent St'}, {'station_name': 'Broadway Junction'}, {'station_name': '121st St'}, {'station_name': 'Woodhaven Blvd'}, {'station_name': 'Chauncey St'}, {'station_name': '104th-102nd Sts'}, {'station_name': 'Norwood Ave'}, {'station_name': 'Van Siclen Ave'}]",15
B-D-N-Q-R,[{'station_name': 'DeKalb Ave'}],1
A-S,"[{'station_name': '80th St'}, {'station_name': '88th St'}, {'station_name': 'Ozone Park - Lefferts Blvd'}, {'station_name': 'Grant Ave'}, {'station_name': 'Rockaway Park - Beach 116 St'}, {'station_name': 'Beach 98th St'}, {'station_name': 'Rockaway Blvd'}, {'station_name': 'Broad Channel'}, {'station_name': '104th St'}, {'station_name': '111th St'}, {'station_name': 'Beach 90th St'}, {'station_name': 'Beach 105th St'}]",12
